Year|Paper ID|Research Object
2018|Liu2018|Architecture Description
2018|Martini2018|Architecture Pattern
2018|Oquendo2018|Architecture Description Language
2018|Power2018|Architecture Decision Making
2018|Schneider2018|Architecture Evolution
2018|Shahbazian2018|Architecture Decision Making
2018|Soliman2018|Architecture Decision Making
2018|Spray2018|Reference Architecture
2018|Szvetits2018|Architecture Decision Making
2018|Tenbergen2018|Architectural Aspects
2018|Tuma2018|Architecture Analysis Method
2018|Weyns2018|Architecture Optimization Method
2018|Yasaweerasinghelage2018|Architectural Assumptions
2019|Alam2019|Architecture Decision Making
2019|Arcelli2019|Architecture Analysis Method,Architecture Design Method
2019|Castellanos2019|Architecture Design Method
2019|Dajsuren2019|Architecture Analysis Method
2019|Eismann2019|Architecture Analysis Method
2019|Gerking2019|Architecture Analysis Method
2019|Gonzalez2019|Architectural Aspects
2019|Jahic2019a|Architecture Analysis Method
2019|Jahic2019|Architecture Design Method
2019|Maartensson2019|Architecture Decision Making
2019|Malakuti2019|Architecture Pattern
2019|Malki2019|Architecture Decision Making
2019|Mattos2019|Architecture Optimization Method
2019|Mayrhofer2019|Reference Architecture
2019|Musil2019|Architecture Analysis Method
2019|Ntentos2019|Architecture Pattern
2019|Nunes2019|Architectural Aspects
2019|Pigazzini2019a|Architecture Analysis Method
2019|Pigazzini2019a|Architecture Extraction
2019|Power2019|Architecture Decision Making
2019|Rademacher2019|Architecture Design Method
2019|Sanctis2019|Architecture Design Method
2019|Seifermann2019|Architecture Analysis Method
2019|Seifermann2019|Architecture Description Language
2019|Sion2019|Architectural Aspects
2019|Soezer2019|Architecture Extraction
2019|Telschig2019|Architectural Aspects
2019|Tian2019|Architecture Pattern
2019|Tuma2019|Architecture Analysis Method
2019|Ullah2019|Architecture Optimization Method
2019|Verdecchia2019|Architecture Design Method
2019|Waegemann2019|Architecture Optimization Method
2019|Weber2019|Reference Architecture
2019|Wohlrab2019a|Architecture Evolution
2019|Wohlrab2019|Architectural Assumptions
2019|Wohlrab2019|Architecture Evolution
2019|Yasaweerasinghelage2019|Architecture Optimization Method
2019|Zhang2019|Architecture Pattern
2020|Alkhabbas2020|Architecture Design Method
2020|Almeida2020|Architecture Optimization Method
2020|Baresi2020|Reference Architecture
2020|Brito2020|Architecture Design Method
2020|Bucaioni2020|Architectural Aspects
2020|Bucaioni2020|Reference Architecture
2020|Camara2020|Architecture Optimization Method
2020|Caporuscio2020a|Architecture Design Method
2020|Caporuscio2020b|Architecture Evolution
2020|Cardoso2020|Architecture Optimization Method
2020|Chondamrongkul2020|Architecture Description Language
2020|Dias2020|Architecture Description Language
2020|Giaimo2020|Architecture Description
2020|Giaimo2020|Architecture Design Method
2020|Islam2020|Reference Architecture
2020|Jasser2020|Architecture Analysis Method
2020|Koziolek2020|Architectural Aspects
2020|Kugele2020|Architecture Pattern
2020|Matias2020|Architecture Design Method
2020|Mazkatli2020|Architecture Evolution
2020|Mendonca2020|Architecture Analysis Method
2020|Mendonca2020|Architecture Pattern
2020|Mizutani2020|Reference Architecture
2020|Moghaddam2020|Architecture Optimization Method
2020|Ntentos2020|Architecture Analysis Method
2020|Sanctis2020|Reference Architecture
2020|Santos2020|Architecture Design Method
2020|Selmadji2020|Architecture Extraction
2020|Tran2020|Architecture Design Method
2020|Verdecchia2020|Technical Debt
2020|Wang2020|Architecture Description Language
2020|Werle2020|Architecture Analysis Method
2020|Werle2020|Architecture Design Method
2020|Zhang2020|Architecture Design Method
2020|Zhao2020|Architectural Aspects
2020|Zhao2020|Architecture Analysis Method
2021|Bonfanti2021|Architecture Design Method
2021|Bucaioni2021|Architecture Design Method
2021|Cadavid2021|Architecture Decision Making
2021|Camara2021|Architecture Optimization Method
2021|Caporuscio2021|Architecture Optimization Method
2021|Garcia2021|Architecture Analysis Method
2021|Garcia2021|Architecture Extraction
